,h,1,2,3,4,5,6,0
,7," "," ","https://us02web.zoom.us/j/87587096455?pwd=bU9Wd0MyZjBVUUtYWU9nTUhBTXcrQT09"," "," "," "," "
,8,"https://uni-pe.zoom.us/j/82335165155?pwd=OGRZWm9Qb3NJZ2ROZ1liaS9kNUx2QT09","https://uni-pe.zoom.us/j/81536948620?pwd=ZlBERDlXMEJ0S2MwY1VqVDlkc0VrUT09","https://us02web.zoom.us/j/87587096455?pwd=bU9Wd0MyZjBVUUtYWU9nTUhBTXcrQT09","https://uni-pe.zoom.us/j/81464012810?pwd=T2lMSVAwNGZlQ0o3SitIT2pVaFZkdz09"," ","https://us02web.zoom.us/j/85764907371?pwd=MkxQejZjM05kV3RLNGp0Q3hDdnJvQT09"," "
,9,"https://uni-pe.zoom.us/j/82335165155?pwd=OGRZWm9Qb3NJZ2ROZ1liaS9kNUx2QT09","https://uni-pe.zoom.us/j/81536948620?pwd=ZlBERDlXMEJ0S2MwY1VqVDlkc0VrUT09"," ","https://uni-pe.zoom.us/j/81464012810?pwd=T2lMSVAwNGZlQ0o3SitIT2pVaFZkdz09"," ","https://us02web.zoom.us/j/85764907371?pwd=MkxQejZjM05kV3RLNGp0Q3hDdnJvQT09"," "
,10," "," "," "," "," "," "," "
,11," "," "," "," "," "," "," "
,12," "," "," "," "," "," "," "
,13," "," "," "," "," ","https://classroom.google.com/u/1/c/MzIxOTI1MDE4OTI0?hl=es"," "
,14," ","https://uni-pe.zoom.us/j/84870988231?pwd=NmdZSXl0QkM4RU1zeFNHbzZacE9mdz09"," "," ","https://us02web.zoom.us/j/83747206383?pwd=a1U0WWZjMitBdzlhK2xSNUVvM1FlUT09","https://classroom.google.com/u/1/c/MzIxOTI1MDE4OTI0?hl=es"," "
,15," ","https://uni-pe.zoom.us/j/84870988231?pwd=NmdZSXl0QkM4RU1zeFNHbzZacE9mdz09"," "," ","https://us02web.zoom.us/j/83747206383?pwd=a1U0WWZjMitBdzlhK2xSNUVvM1FlUT09","https://classroom.google.com/u/1/c/MzIxOTI1MDE4OTI0?hl=es"," "
,16,"https://uni-pe.zoom.us/j/82549249078?pwd=cUxScFhVOWowYmZaRVlVekJrd29pUT09"," "," ","https://us02web.zoom.us/j/86411379356?pwd=blBHQ3ZoL2pXamhyRXVrd0ZXR01ZZz09"," "," "," "
,17,"https://uni-pe.zoom.us/j/82549249078?pwd=cUxScFhVOWowYmZaRVlVekJrd29pUT09"," "," ","https://us02web.zoom.us/j/86411379356?pwd=blBHQ3ZoL2pXamhyRXVrd0ZXR01ZZz09"," "," "," "
,18," ","https://us02web.zoom.us/j/86539918981?pwd=TVZ6Wlg5WU9GY3FyNXgyZzJxbng2QT09 ","https://us02web.zoom.us/j/86984429168?pwd=aE95RjdRTEV3bWU5bWdnbVpNVCs4QT09"," "," "," "," "
,19," ","https://us02web.zoom.us/j/86539918981?pwd=TVZ6Wlg5WU9GY3FyNXgyZzJxbng2QT09 ","https://us02web.zoom.us/j/86984429168?pwd=aE95RjdRTEV3bWU5bWdnbVpNVCs4QT09"," "," "," "," "
,20," "," "," "," "," "," "," "
,21," "," "," "," "," "," "," "
,22," "," "," "," "," "," "," "
